LocationType,Location,Single Age,TimeFrame,DataFormat,Data
State,Washington,<1,1994,Number,76080
State,West Virginia,<1,1994,Number,21014
State,Wisconsin,<1,1994,Number,63863
State,Wyoming,<1,1994,Number,6338
Territory,Puerto Rico,<1,1994,Number,N.A.
Territory,Puerto Rico,<1,1995,Number,N.A.
State,Wyoming,<1,1995,Number,6233
State,Wisconsin,<1,1995,Number,62127
State,West Virginia,<1,1995,Number,20906
State,Washington,<1,1995,Number,75763
State,Virginia,<1,1995,Number,89849
State,Vermont,<1,1995,Number,6806
State,Utah,<1,1995,Number,39035
State,Texas,<1,1995,Number,314104
State,Tennessee,<1,1995,Number,71218
State,South Dakota,<1,1995,Number,10025
State,South Carolina,<1,1995,Number,50004
State,Rhode Island,<1,1995,Number,13276
State,Pennsylvania,<1,1995,Number,148939
State,Oregon,<1,1995,Number,42143
State,Oklahoma,<1,1995,Number,44025
State,Ohio,<1,1995,Number,151516
State,North Dakota,<1,1995,Number,8289
State,North Carolina,<1,1995,Number,98836
State,New York,<1,1995,Number,261455
State,New Mexico,<1,1995,Number,26701
State,New Jersey,<1,1995,Number,112931
State,New Hampshire,<1,1995,Number,14711
State,Nevada,<1,1995,Number,24671
State,Nebraska,<1,1995,Number,22545
State,Montana,<1,1995,Number,10809
State,Missouri,<1,1995,Number,71366
State,Mississippi,<1,1995,Number,39903
State,Minnesota,<1,1995,Number,62332
State,Michigan,<1,1995,Number,132694
State,Massachusetts,<1,1995,Number,81429
State,Maryland,<1,1995,Number,72192
State,Maine,<1,1995,Number,13810
State,Louisiana,<1,1995,Number,63471
State,Kentucky,<1,1995,Number,51845
State,Kansas,<1,1995,Number,35982
State,Iowa,<1,1995,Number,36092
State,Indiana,<1,1995,Number,81475
State,Illinois,<1,1995,Number,179719
State,Idaho,<1,1995,Number,17768
State,Hawaii,<1,1995,Number,17422
State,Georgia,<1,1995,Number,107526
State,Florida,<1,1995,Number,182240
City,District of Columbia,<1,1995,Number,7284
State,Delaware,<1,1995,Number,9901
State,Connecticut,<1,1995,Number,44154
State,Colorado,<1,1995,Number,53376
State,California,<1,1995,Number,528892
