LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Alabama,5 years and older,1998,Number,567
State,Alabama,Total,1998,Number,15694
State,Alabama,Total,1997,Number,15860
State,Alabama,5 years and older,1997,Number,84
State,Alabama,4,1997,Number,11833
State,Alabama,3,1997,Number,3662
State,Alabama,<3,1997,Number,281
State,Alabama,<3,1996,Number,246
State,Alabama,3,1996,Number,4104
State,Alabama,4,1996,Number,11274
State,Alabama,5 years and older,1996,Number,273
State,Alabama,Total,1996,Number,15897
State,Alabama,Total,1995,Number,15468
State,Alabama,5 years and older,1995,Number,206
State,Alabama,4,1995,Number,11327
State,Alabama,3,1995,Number,3746
State,Alabama,<3,1995,Number,189
State,Alabama,<3,1994,Number,232
State,Alabama,3,1994,Number,3443
State,Alabama,4,1994,Number,11000
State,Alabama,5 years and older,1994,Number,281
State,Alabama,Total,1994,Number,14956
State,Alabama,Total,1993,Number,13808
State,Alabama,5 years and older,1993,Number,200
State,Alabama,4,1993,Number,10270
State,Alabama,3,1993,Number,3180
State,Alabama,<3,1993,Number,158
State,Alabama,Total,1991,Number,12139
State,Alabama,5 years and older,1991,Number,278
State,Alabama,4,1991,Number,8380
State,Alabama,3,1991,Number,3360
State,Alabama,<3,1991,Number,121
State,Alabama,<3,1992,Number,113
State,Alabama,3,1992,Number,3152
State,Alabama,4,1992,Number,9707
State,Alabama,5 years and older,1992,Number,190
State,Alabama,Total,1992,Number,13162
State,Alabama,<3,1990,Number,759
State,Alabama,3,1990,Number,3170
State,Alabama,4,1990,Number,7314
State,Alabama,5 years and older,1990,Number,870
State,Alabama,Total,1990,Number,12113
State,Alaska,<3,1990,Number,117
State,Alaska,3,1990,Number,695
State,Alaska,4,1990,Number,1004
State,Alaska,5 years and older,1990,Number,86
State,Alaska,Total,1990,Number,1902
State,Alaska,<3,1992,Number,183
State,Alaska,3,1992,Number,869
State,Alaska,4,1992,Number,1202
State,Alaska,5 years and older,1992,Number,77
State,Alaska,Total,1992,Number,2331
State,Alaska,Total,1991,Number,1948
State,Alaska,5 years and older,1991,Number,55
State,Alaska,4,1991,Number,1116
State,Alaska,3,1991,Number,649
State,Alaska,<3,1991,Number,128
State,Alaska,Total,1993,Number,2602
State,Alaska,5 years and older,1993,Number,100
State,Alaska,4,1993,Number,1310
State,Alaska,3,1993,Number,876
State,Alaska,<3,1993,Number,316
State,Alaska,<3,1994,Number,309
State,Alaska,3,1994,Number,947
State,Alaska,4,1994,Number,1484
State,Alaska,5 years and older,1994,Number,217
State,Alaska,Total,1994,Number,2957
State,Alaska,Total,1995,Number,3190
State,Alaska,5 years and older,1995,Number,311
State,Alaska,4,1995,Number,1606
State,Alaska,3,1995,Number,974
State,Alaska,<3,1995,Number,299
State,Alaska,<3,1996,Number,389
State,Alaska,3,1996,Number,1056
State,Alaska,4,1996,Number,1607
State,Alaska,5 years and older,1996,Number,127
State,Alaska,Total,1996,Number,3179
State,Alaska,Total,1997,Number,3063
State,Alaska,5 years and older,1997,Number,150
State,Alaska,4,1997,Number,1505
State,Alaska,3,1997,Number,1070
State,Alaska,<3,1997,Number,338
State,Alaska,<3,1998,Number,404
State,Alaska,3,1998,Number,1098
State,Alaska,4,1998,Number,1491
State,Alaska,5 years and older,1998,Number,146
State,Alaska,Total,1998,Number,3139
State,Alaska,<3,2000,Number,401
State,Alaska,3,2000,Number,1277
State,Alaska,4,2000,Number,1651
State,Alaska,5 years and older,2000,Number,206
State,Alaska,Total,2000,Number,3535
State,Alaska,Total,1999,Number,3237
State,Alaska,5 years and older,1999,Number,203
State,Alaska,4,1999,Number,1641
State,Alaska,3,1999,Number,1141
State,Alaska,<3,1999,Number,252
State,Alaska,<3,2002,Number,585
State,Alaska,3,2002,Number,1282
State,Alaska,5 years and older,2002,Number,129
State,Alaska,4,2002,Number,1710
State,Alaska,Total,2002,Number,3706
State,Alaska,Total,2001,Number,4224
State,Alaska,5 years and older,2001,Number,188
State,Alaska,4,2001,Number,1886
State,Alaska,3,2001,Number,1762
State,Alaska,<3,2001,Number,388
State,Alaska,4,2004,Number,1699
State,Alaska,3,2004,Number,1209
State,Alaska,<3,2004,Number,607
State,Alaska,5 years and older,2004,Number,241
State,Alaska,Total,2004,Number,3756
State,Alaska,Total,2003,Number,3808
State,Alaska,5 years and older,2003,Number,154
State,Alaska,<3,2003,Number,617
State,Alaska,3,2003,Number,1354
State,Alaska,4,2003,Number,1683
State,Alaska,3,2006,Number,1217
State,Alaska,4,2006,Number,1759
State,Alaska,<3,2006,Number,432
State,Alaska,5 years and older,2006,Number,248
State,Alaska,Total,2006,Number,3656
State,Alaska,Total,2005,Number,3727
State,Alaska,5 years and older,2005,Number,208
State,Alaska,4,2005,Number,1719
State,Alaska,<3,2005,Number,584
State,Alaska,3,2005,Number,1216
State,Alaska,3,1989,Number,548
State,Alaska,<3,1989,Number,192
State,Alaska,5 years and older,1989,Number,117
State,Alaska,4,1989,Number,837
State,Alaska,Total,1989,Number,1694
State,Alaska,Total,2007,Number,3606
State,Alaska,5 years and older,2007,Number,117
State,Alaska,4,2007,Number,1710
State,Alaska,<3,2007,Number,486
State,Alaska,3,2007,Number,1293
State,Alaska,3,2013,Number,1433
State,Alaska,<3,2013,Number,853
State,Alaska,4,2013,Number,1815
State,Alaska,5 years and older,2013,Number,45
State,Alaska,Total,2013,Number,4146
State,Alaska,Total,2008,Number,3597
State,Alaska,5 years and older,2008,Number,334
State,Alaska,4,2008,Number,1549
State,Alaska,<3,2008,Number,545
State,Alaska,3,2008,Number,1169
State,Alaska,<3,2018,Number,767
State,Alaska,3,2018,Number,1244
State,Alaska,4,2018,Number,1583
State,Alaska,5 years and older,2018,Number,61
State,Alaska,Total,2018,Number,3655
State,Alaska,Total,2009,Number,3520
State,Alaska,5 years and older,2009,Number,78
State,Alaska,4,2009,Number,1688
State,Alaska,<3,2009,Number,492
State,Alaska,3,2009,Number,1262
State,Alaska,3,1988,Number,493
State,Alaska,<3,1988,Number,142
State,Alaska,4,1988,Number,840
State,Alaska,5 years and older,1988,Number,32
State,Alaska,Total,2010,Number,3889
State,Alaska,5 years and older,2010,Number,41
State,Alaska,4,2010,Number,1785
State,Alaska,<3,2010,Number,759
