LocationType,Location,Age group,TimeFrame,DataFormat,Data
City,District of Columbia,less than 13,2012,Number,17000
City,District of Columbia,less than 18,2012,Number,22000
City,District of Columbia,less than 6,2011,Number,5000
City,District of Columbia,less than 13,2011,Number,9000
City,District of Columbia,less than 18,2011,Number,13000
City,District of Columbia,less than 6,2015,Number,5000
City,District of Columbia,less than 13,2015,Number,12000
City,District of Columbia,less than 18,2015,Number,18000
City,District of Columbia,less than 6,2010,Number,5000
City,District of Columbia,less than 13,2010,Number,13000
City,District of Columbia,less than 18,2010,Number,18000
City,District of Columbia,less than 13,2009,Number,14000
City,District of Columbia,less than 18,2009,Number,21000
City,District of Columbia,less than 6,2009,Number,S
City,District of Columbia,less than 6,2018,Number,7000
City,District of Columbia,less than 13,2018,Number,14000
City,District of Columbia,less than 18,2018,Number,17000
City,District of Columbia,less than 6,2013,Number,9000
City,District of Columbia,less than 13,2013,Number,14000
City,District of Columbia,less than 18,2013,Number,19000
City,District of Columbia,less than 6,2008,Number,6000
City,District of Columbia,less than 13,2008,Number,13000
City,District of Columbia,less than 18,2008,Number,18000
State,Florida,less than 6,2008,Number,358000
State,Florida,less than 13,2008,Number,749000
State,Florida,less than 18,2008,Number,994000
State,Florida,less than 6,2013,Number,394000
State,Florida,less than 13,2013,Number,854000
State,Florida,less than 18,2013,Number,1161000
State,Florida,less than 6,2018,Number,400000
State,Florida,less than 13,2018,Number,895000
State,Florida,less than 18,2018,Number,1191000
State,Florida,less than 13,2009,Number,795000
State,Florida,less than 18,2009,Number,1064000
State,Florida,less than 6,2009,Number,375000
State,Florida,less than 6,2010,Number,337000
State,Florida,less than 13,2010,Number,754000
State,Florida,less than 18,2010,Number,1032000
State,Florida,less than 6,2015,Number,409000
State,Florida,less than 13,2015,Number,904000
State,Florida,less than 18,2015,Number,1224000
State,Florida,less than 6,2011,Number,357000
State,Florida,less than 13,2011,Number,797000
State,Florida,less than 18,2011,Number,1092000
State,Florida,less than 6,2012,Number,395000
State,Florida,less than 13,2012,Number,849000
State,Florida,less than 18,2012,Number,1146000
State,Florida,less than 13,2014,Number,900000
State,Florida,less than 18,2014,Number,1212000
State,Florida,less than 6,2014,Number,405000
State,Florida,less than 6,2016,Number,420000
State,Florida,less than 13,2016,Number,897000
State,Florida,less than 18,2016,Number,1190000
State,Florida,less than 13,2017,Number,892000
State,Florida,less than 18,2017,Number,1194000
State,Florida,less than 6,2017,Number,402000
State,Florida,less than 6,2019,Number,373000
State,Florida,less than 13,2019,Number,872000
State,Florida,less than 18,2019,Number,1189000
State,Florida,less than 6,2021,Number,331000
State,Florida,less than 13,2021,Number,739000
State,Florida,less than 18,2021,Number,1024000
State,Georgia,less than 6,2019,Number,231000
State,Georgia,less than 13,2019,Number,522000
State,Georgia,less than 18,2019,Number,692000
State,Georgia,less than 6,2021,Number,191000
State,Georgia,less than 13,2021,Number,429000
State,Georgia,less than 18,2021,Number,580000
State,Georgia,less than 13,2017,Number,523000
State,Georgia,less than 18,2017,Number,697000
State,Georgia,less than 6,2017,Number,227000
State,Georgia,less than 18,2016,Number,701000
State,Georgia,less than 6,2016,Number,231000
State,Georgia,less than 13,2016,Number,530000
State,Georgia,less than 13,2014,Number,549000
State,Georgia,less than 18,2014,Number,723000
State,Georgia,less than 6,2014,Number,244000
State,Georgia,less than 6,2012,Number,236000
State,Georgia,less than 13,2012,Number,526000
State,Georgia,less than 18,2012,Number,697000
State,Georgia,less than 6,2011,Number,225000
State,Georgia,less than 13,2011,Number,493000
State,Georgia,less than 18,2011,Number,657000
State,Georgia,less than 6,2015,Number,247000
State,Georgia,less than 13,2015,Number,551000
State,Georgia,less than 18,2015,Number,727000
State,Georgia,less than 6,2010,Number,235000
State,Georgia,less than 13,2010,Number,513000
State,Georgia,less than 18,2010,Number,668000
State,Georgia,less than 13,2009,Number,479000
State,Georgia,less than 18,2009,Number,637000
State,Georgia,less than 6,2009,Number,227000
State,Georgia,less than 6,2018,Number,226000
State,Georgia,less than 13,2018,Number,517000
State,Georgia,less than 18,2018,Number,692000
State,Georgia,less than 6,2013,Number,237000
State,Georgia,less than 13,2013,Number,527000
State,Georgia,less than 18,2013,Number,698000
State,Georgia,less than 6,2008,Number,243000
State,Georgia,less than 13,2008,Number,493000
State,Georgia,less than 18,2008,Number,640000
State,Hawaii,less than 6,2008,Number,18000
State,Hawaii,less than 13,2008,Number,34000
State,Hawaii,less than 18,2008,Number,45000
State,Hawaii,less than 6,2013,Number,22000
State,Hawaii,less than 13,2013,Number,47000
State,Hawaii,less than 18,2013,Number,60000
State,Hawaii,less than 6,2018,Number,19000
State,Hawaii,less than 13,2018,Number,41000
State,Hawaii,less than 18,2018,Number,51000
State,Hawaii,less than 13,2009,Number,41000
State,Hawaii,less than 18,2009,Number,53000
State,Hawaii,less than 6,2009,Number,19000
State,Hawaii,less than 6,2010,Number,22000
State,Hawaii,less than 13,2010,Number,43000
State,Hawaii,less than 18,2010,Number,55000
State,Hawaii,less than 6,2015,Number,19000
State,Hawaii,less than 13,2015,Number,41000
State,Hawaii,less than 18,2015,Number,53000
State,Hawaii,less than 6,2011,Number,21000
State,Hawaii,less than 13,2011,Number,45000
State,Hawaii,less than 18,2011,Number,60000
State,Hawaii,less than 6,2012,Number,22000
State,Hawaii,less than 13,2012,Number,48000
State,Hawaii,less than 18,2012,Number,63000
State,Hawaii,less than 13,2014,Number,44000
State,Hawaii,less than 18,2014,Number,57000
State,Hawaii,less than 6,2014,Number,19000
State,Hawaii,less than 6,2016,Number,21000
State,Hawaii,less than 13,2016,Number,44000
State,Hawaii,less than 18,2016,Number,55000
State,Hawaii,less than 13,2017,Number,42000
State,Hawaii,less than 18,2017,Number,52000
State,Hawaii,less than 6,2017,Number,21000
State,Hawaii,less than 6,2021,Number,15000
State,Hawaii,less than 13,2021,Number,34000
State,Hawaii,less than 18,2021,Number,45000
State,Hawaii,less than 6,2019,Number,18000
State,Hawaii,less than 13,2019,Number,38000
State,Hawaii,less than 18,2019,Number,51000
State,Idaho,less than 6,2019,Number,55000
State,Idaho,less than 13,2019,Number,109000
State,Idaho,less than 18,2019,Number,138000
State,Idaho,less than 6,2021,Number,40000
State,Idaho,less than 13,2021,Number,93000
State,Idaho,less than 18,2021,Number,126000
State,Idaho,less than 13,2017,Number,99000
State,Idaho,less than 18,2017,Number,128000
State,Idaho,less than 6,2017,Number,45000
State,Idaho,less than 18,2016,Number,132000
State,Idaho,less than 6,2016,Number,45000
State,Idaho,less than 13,2016,Number,101000
State,Idaho,less than 13,2014,Number,112000
State,Idaho,less than 18,2014,Number,146000
State,Idaho,less than 6,2014,Number,51000
State,Idaho,less than 6,2012,Number,50000
State,Idaho,less than 13,2012,Number,108000
State,Idaho,less than 18,2012,Number,138000
State,Idaho,less than 6,2011,Number,47000
State,Idaho,less than 13,2011,Number,98000
State,Idaho,less than 18,2011,Number,127000
State,Idaho,less than 6,2015,Number,49000
State,Idaho,less than 13,2015,Number,110000
State,Idaho,less than 18,2015,Number,137000
State,Idaho,less than 6,2010,Number,51000
State,Idaho,less than 13,2010,Number,102000
State,Idaho,less than 18,2010,Number,130000
State,Idaho,less than 13,2009,Number,95000
State,Idaho,less than 18,2009,Number,120000
State,Idaho,less than 6,2009,Number,48000
State,Idaho,less than 6,2018,Number,51000
State,Idaho,less than 13,2018,Number,109000
State,Idaho,less than 18,2018,Number,137000
State,Idaho,less than 6,2013,Number,55000
State,Idaho,less than 13,2013,Number,115000
State,Idaho,less than 18,2013,Number,145000
State,Idaho,less than 6,2008,Number,50000
State,Idaho,less than 13,2008,Number,101000
State,Idaho,less than 18,2008,Number,124000
State,Illinois,less than 6,2008,Number,236000
State,Illinois,less than 13,2008,Number,503000
State,Illinois,less than 18,2008,Number,667000
State,Illinois,less than 6,2013,Number,227000
State,Illinois,less than 13,2013,Number,528000
State,Illinois,less than 18,2013,Number,714000
State,Illinois,less than 6,2018,Number,208000
State,Illinois,less than 13,2018,Number,464000
State,Illinois,less than 18,2018,Number,633000
State,Illinois,less than 13,2009,Number,506000
State,Illinois,less than 18,2009,Number,679000
State,Illinois,less than 6,2009,Number,237000
State,Illinois,less than 6,2010,Number,218000
State,Illinois,less than 13,2010,Number,509000
State,Illinois,less than 18,2010,Number,697000
State,Illinois,less than 6,2015,Number,226000
State,Illinois,less than 13,2015,Number,520000
State,Illinois,less than 18,2015,Number,698000
State,Illinois,less than 6,2011,Number,241000
State,Illinois,less than 13,2011,Number,536000
State,Illinois,less than 18,2011,Number,724000
State,Illinois,less than 6,2012,Number,240000
State,Illinois,less than 13,2012,Number,549000
State,Illinois,less than 18,2012,Number,738000
State,Illinois,less than 13,2014,Number,525000
State,Illinois,less than 18,2014,Number,716000
State,Illinois,less than 6,2014,Number,227000
State,Illinois,less than 6,2016,Number,217000
State,Illinois,less than 13,2016,Number,511000
State,Illinois,less than 18,2016,Number,688000
State,Illinois,less than 13,2017,Number,474000
State,Illinois,less than 18,2017,Number,645000
State,Illinois,less than 6,2017,Number,202000
State,Illinois,less than 6,2021,Number,165000
State,Illinois,less than 13,2021,Number,388000
State,Illinois,less than 18,2021,Number,533000
State,Illinois,less than 6,2019,Number,218000
State,Illinois,less than 13,2019,Number,485000
State,Illinois,less than 18,2019,Number,655000
State,Indiana,less than 6,2019,Number,126000
State,Indiana,less than 13,2019,Number,286000
State,Indiana,less than 18,2019,Number,376000
State,Indiana,less than 6,2021,Number,117000
State,Indiana,less than 13,2021,Number,257000
State,Indiana,less than 18,2021,Number,349000
State,Indiana,less than 13,2017,Number,297000
State,Indiana,less than 18,2017,Number,388000
State,Indiana,less than 6,2017,Number,133000
State,Indiana,less than 18,2016,Number,412000
State,Indiana,less than 6,2016,Number,143000
State,Indiana,less than 13,2016,Number,315000
State,Indiana,less than 13,2014,Number,325000
State,Indiana,less than 18,2014,Number,426000
State,Indiana,less than 6,2014,Number,151000
State,Indiana,less than 6,2012,Number,148000
State,Indiana,less than 13,2012,Number,320000
State,Indiana,less than 18,2012,Number,422000
State,Indiana,less than 6,2011,Number,133000
